,base_text,sumy_pos,sumy
10,"Chaptalization is a process in winemaking that involves adding sugar to fermenting grapes in order to increase the alcohol content of the resulting wine. The practice is named after Jean-Antoine Chaptal, a French chemist who advocated the technique. It's important to note that sugar does not contribute to the flavor; the primary purpose is to elevate the alcohol level. The sugar is converted to alcohol by yeast during the fermentation process. This method is generally used when grapes are not naturally ripe enough to achieve the desired alcohol content. Countries like France and Germany permit chaptalization because their climates aren't ideal for producing highly ripe grapes. However, in warmer regions like California and Australia, grapes typically achieve adequate ripeness and chaptalization isn't necessary or even allowed. The technique is somewhat controversial as some feel it leads to unbalanced wines. Nevertheless, when performed judiciously, it can be an effective tool to improve wine in challenging vintages. Ultimately, the aim is to generate a balanced finished product that exhibits the best traits of the grape and terroir.","[7, 9, 4, 3, 17, 15, 9, 4, 11, 3, 1, 3, 11, 17, 7, 17, 9, 9, 14]",This method is generally used when grapes are not naturally ripe enough to achieve the desired alcohol content.
11,"Dobrinja is a neighborhood located in Sarajevo, the capital city of Bosnia and Herzegovina. The district got its name from a stream that flows through the region, also known as the Dobrinja River. It is situated in the western part of the city, in the municipality of Novi Grad. This locale grew significantly during the 1984 Winter Olympics when many residential buildings were built to accommodate the games.

Prior to this, the area was largely rural. Today, Dobrinja is best known as a residential district, comprising of apartment blocks and family homes. Over the years, it has become a vibrant part of Sarajevo, with shops, schools, and sports facilities catering to the local community. However, it also bears a tragic history as it was heavily affected during the Siege of Sarajevo in the Bosnian War. Many buildings and properties were damaged or destroyed in the conflict. Despite this, Dobrinja has since recovered and has continued to develop and modernize.","[13, 4, 7, 9, 17, 2, 13, 14, 7, 9, 9, 2, 13, 6, 13, 14]","Dobrinja is a neighborhood located in Sarajevo, the capital city of Bosnia and Herzegovina."
12,"Chalvey is a suburb located in the Borough of Slough in Berkshire, England. It's a residential neighborhood that has evolved from a small hamlet in the parish of Upton-cum-Chalvey. It's known for its culturally diverse population and close proximity to central Slough, making it a popular residential location. Chalvey village has a history that dates back to the Iron Age and it was mentioned in the Domesday Book, a historical record from the 11th century. In terms of amenities, Chalvey hosts several schools and local shops, as well as community facilities. The suburb also has a post office, a library, and a community centre. It's also home to St Peter's Church, a historical building with a notable lychgate. The suburb has faced significant social and economic challenges but there are ongoing efforts for urban renewal and community development. Chalvey has also been the backdrop for scenes in several British television shows. It's well serviced by public transport, connecting it to the wider Berkshire region.","[12, 4, 17, 2, 12, 3, 1, 9, 6, 1, 9, 2, 1, 13, 14, 17, 12, 7, 1, 1, 9, 14]","It's known for its culturally diverse population and close proximity to central Slough, making it a popular residential location."
13,"Samantha is commonly known to be a female name of Western origin. Rooted in the Aramaic language, Samantha translates to ""listener."" The name gained its popularity mainly in the English-speaking Western countries around the 18th century. Samantha can be found in various forms of works from literature to films and has often been referred to symbolize grace and beauty. One famous use of Samantha is in the popular American television series 'Bewitched', in which the lead character is a witch named Samantha Stephens. The name also has its digital reference as well, for instance, Samantha is the name of the Artificial Intelligence OS in the movie ""Her"". Moreover, Samantha is also the name of a popular American Girl doll. Despite slight fluctuations over the years, Samantha remains as a familiar name worldwide. In numerology, Samantha resonates with the number 9 signifying wisdom and humanitarianism. However, its usage and symbolism can greatly vary based on its cultural and contextual implications.","[13, 4, 3, 17, 11, 4, 7, 1, 9, 2, 1, 9, 14]",Samantha is commonly known to be a female name of Western origin.
14,"Codomain is an essential concept in the field of mathematics, particularly in the study of functions. It represents a set of all possible output values that a function can potentially produce. However, it's key to remember that not all these potential outputs, which comprise the codomain, will necessarily be actual outputs, or what we call the range of the function. For example, if we are dealing with a function that squares numbers and we feed it inputs of 1, 2, and 3, the codomain can still be the set of all real numbers. This is because even though the function only produces the outputs 1, 4, and 9, it still has the potential to produce any real number, depending on the input. The concept of a codomain helps give us a comprehensive view of what a function can potentially do. The notion of a codomain is pivotal in specific areas of mathematics, like calculus and set theory. Understanding it correctly assists in grasping the overall behavior of a function. With different expressions, the codomain might change. So, it forms part of the essential descriptors of a mathematical function.","[3, 14, 12, 4, 1, 11, 17, 15, 11, 7, 7, 1, 9, 14, 12, 17, 7, 1, 14, 4, 3, 4, 1, 9, 14, 6, 12, 12, 17, 7, 9, 2, 7, 9, 14]","However, it's key to remember that not all these potential outputs, which comprise the codomain, will necessarily be actual outputs, or what we call the range of the function."
15,"Al-Busiri is recognized as the nickname of Sharaf al-Din Muhammad, a renowned Egyptian poet from the 13th century. Most iconic for his poetic compilation, the ""Qasida al-Burda"", Al-Busiri earned a significant place in the annals of Islamic literature. He was born in present-day Egypt, although his lineage traced back to the Sanhaja Berber tribe in Morocco. His name, Al-Busiri, refers to his birthplace, Busir, a town in the Delta region of Egypt. Battling with paralysis in his later years, he was said to have been restored to health after writing the Qasida al-Burda, a poem revering the Prophet Muhammad. This divine romanticism towards the prophet made Al-Busiri's work widely appreciated within the Sufi community. Today, his Qasida al-Burda is often recited in gatherings as a mark of respect and praise for the Prophet Muhammad. Al-Busiri's work continues to feature in Islamic celebrations and ceremonies, cementing his legacy centuries after his passing. His contributions to Islam and Sufism, using passionate and evocative poetry, have marked him as an essential figure in Islamic literature and history. Al-Busiri's poems remain relevant for their deep spiritual insights and expressions of love for Prophet Muhammad.","[1, 1, 2, 12, 1, 9, 14, 7, 14, 13, 13, 13, 13, 14, 14, 13, 14, 13, 17, 7, 1, 9, 2, 7, 9, 2, 1, 9, 14]","Most iconic for his poetic compilation, the ""Qasida al-Burda"", Al-Busiri earned a significant place in the annals of Islamic literature."
16,"Ignace is a term that has two specific uses. Firstly, it is a French masculine given name that originates from the Roman name Ignatius, meaning ""fiery"" or ""burning."" It is quite a popular name in French-speaking countries. The name has been borne several times in history, such as by Saint Ignace of Loyola, the founder of the Jesuit Order in Catholicism. Secondly, the term Ignace also refers to a township in Northwestern Ontario, Canada. Known for its abundance of natural beauty, Ignace is often visited by those who enjoy outdoor pursuits. The community has a longstanding association with the forestry and mining industries. It’s also notably considered as a potential site for nuclear waste storage due to its geological features. In summary, Ignace can either refer to a French first name or a township in Canada.","[3, 14, 7, 9, 13, 3, 17, 2, 7, 9, 2, 13, 13, 14, 13, 14]","Secondly, the term Ignace also refers to a township in Northwestern Ontario, Canada."
17,"Butuan is a historical city located in the Agusan del Norte province of the Philippines. It was the capital city of the province until 2000. Some of its key historical landmarks include the Butuan National Museum and the Balangay Shrine Museum which showcase relics from the city's rich pre-colonial history. The city was known to have been a major trading port in the Southeast Asia region around the 10th century. Today, Butuan is a bustling urban center with a diverse economy based on agriculture, forestry, and fishing. It also has a significant trade and commerce sector, with several shopping malls and commercial establishments. The inhabitants, known as Butuanons, primarily speak Cebuano. Butuan is known for its colorful festivals like the Kahimunan Festival and Balangay Festival. It also hosts the Abayan Festival, which celebrates the city's cultural heritage and river traditions. Hence, Butuan is a blend of historical significance combined with modern urban lifestyle.","[9, 14, 13, 4, 7, 1, 1, 9, 2, 7, 1, 9, 17, 2, 9, 14, 9, 14, 6, 9, 14]","Today, Butuan is a bustling urban center with a diverse economy based on agriculture, forestry, and fishing."
18,"Brauron is an archaeological site located on the eastern coast of Attica in Greece. Named after the ancient town of Brauron, this site holds significant historical relevance owing to its temple of Artemis Brauronia. During the ancient times, this spot was one of the twelve cities of Athens. It was believed, as per mythology, that Iphigenia was the first priestess here. The major religious practice involved young girls aged between five and ten serving Artemis, the Greek goddess, in the temple. These girls were called ""Arktoi,"" meaning ""little she-bears,"" showing the strong connection between Artemis and bears. Remains of these age-old rituals are buried in this historical site. Additionally, many ancient pieces of pottery and sculptures have been discovered at the site which are showcased in the nearby Brauron Museum. Brauron is considered a significant site because it provides valuable insights into the Greek history, religion, and culture. Today, it draws archaeologists and tourists worldwide.","[13, 4, 7, 1, 9, 17, 2, 7, 1, 9, 2, 13, 2, 13, 14]",Brauron is an archaeological site located on the eastern coast of Attica in Greece.
19,"Arawacus is a term used within ecology, specifically entomology, the study of insects. It refers to a genre of butterflies that are commonly found in the Neotropical region, which includes South and Central America, the Caribbean, and southern Mexico. This group of butterflies is part of the family Lycaenidae, also known as gossamer-winged butterflies. The Arawacus genus was first described by scientists in 1819. They are mostly small and delicate, possessing considerable aesthetic value with their bright and varied coloration. They primarily feed on nectar from various flowers. Despite their beauty, these butterflies are still studied for their habitat needs, life cycles, and their roles in ecosystems. Many species within this genus are however yet to be fully understood or identified. Like many other butterfly species, Arawacus butterflies can serve as important indicators of ecosystem health. Therefore, understanding them is not just of academic interest, but of environmental significance as well.","[9, 4, 7, 9, 17, 2, 9, 14, 3, 9, 14, 7, 9, 2, 9, 14]","Arawacus is a term used within ecology, specifically entomology, the study of insects."
20,"World religions is a term used to denote the major international religions that are practiced not just in isolated regions but around the world. It usually refers to religions that have significant number of adherents in various parts of the globe and have a profound influence on human society, culture, and politics. These include, but are not limited to, religions such as Christianity, Islam, Buddhism, Hinduism, and Judaism. They are more than important belief systems; they offer ethical guidelines, societal rules, and philosophical concepts that are globally accepted by a large population. Many of them have sacred texts, rituals and traditions, and distinct community structures that make up their religious system. They differ from indigenous religions, which are typically associated with specific ethnic groups and tend to be localized in specific geographic areas. Importantly, world religions often reach out to convert, becoming global systems through missions, trade, war, or migration. An individual identifying with a world religion is part of a global community of adherents that transcends national, ethnic, and racial boundaries. Despite the many differences, the world's religions attempt to answer fundamental questions about the meaning of life, human nature, and our place in the universe. Understanding world religions aids in promoting respect and appreciation for cultural diversity.","[12, 17, 14, 6, 4, 11, 17, 2, 14, 9, 1, 2, 13, 14, 13, 14, 13, 14, 13, 14, 6, 13, 14]","These include, but are not limited to, religions such as Christianity, Islam, Buddhism, Hinduism, and Judaism."
21,"Charles-Ignace Gill is a notable figure in Canadian history, known as a poet, journalist, and politician. Born in 1841, Gill carved out a reputation in the Quebec arts scene. He was a Francophone, which means that his first language was French. Gill's works were significant in defining Quebec's cultural identity in the 19th century, as they highlighted the distinctiveness of Quebecois culture. He often used humor and satire to express his observations about society and politics in Quebec. In addition to his literary career, Gill also engaged in politics, serving as both a member of the legislature and, eventually, mayor in Quebec. These elected positions gave him a platform to express his ideas and drive change. He passed away in 1918. Today, his legacy remains an integral part of Quebec's rich literary and political history. Charles-Ignace Gill is still referenced and studied, his contributions to the identity and culture of the region standing as a testament to his life's work.","[7, 17, 9, 17, 12, 7, 9, 11, 17, 12, 9, 6, 17, 9, 14]",These elected positions gave him a platform to express his ideas and drive change.
22,"The 47th Scripps National Spelling Bee refers to the annual spelling competition in the United States, which was held for the 47th time. It is organized by the E.W. Scripps Company and is open to students who have not passed the eighth grade. Competitors qualify for the national bee by winning local and regional spelling bees. The competition tests students' abilities to spell a broad selection of words, often with varying origins and complexities. Contestants continue in the competition until they misspell a word, at which point they are eliminated. The student who remains last without misspelling any word is declared the winner. The event aims to not only promote better spelling and vocabulary, but also to help students develop skills in learning concepts and improving comprehension. It draws nationwide attention, and it's traditionally broadcasted on TV. The 47th Scripps National Spelling Bee would indicate the contest's long history and its significance in American education culture.
","[13, 13, 6, 4, 1, 2, 9, 12, 4, 11, 17, 7, 1, 9, 14]",Scripps Company and is open to students who have not passed the eighth grade.
23,"Dewa 19, usually stylized as DEWA, is a popular Indonesian rock band that originated from Surabaya. Formed in 1986, the band initially consisted of four childhood friends and their lineup has seen numerous changes over the years. The band's name directly translates to ""God"" in Indonesian, reflecting their ambition. They started off playing local gigs and eventually shifted to creating original music, achieving fame in the late 1980s and the 1990s. Many known Indonesian musicians launched their careers with Dewa 19. Their music is a mix of rock, pop, and alternative genres, attracting a wide range of audiences. Dewa 19 has produced many successful albums with hits like ""Separation"", ""The Story of Us"", and more. They are known for their powerful lyrics and distinctive sound. After years of major success and influence in the Indonesian music scene, Dewa 19 disbanded in 2011. Despite their dissolution, their music continues to be beloved among fans and influential to budding musicians.","[7, 9, 11, 9, 3, 17, 2, 14, 13, 14, 2, 13, 14, 17, 12, 9, 14]","The band's name directly translates to ""God"" in Indonesian, reflecting their ambition."
24,"The Bukhara Region is an administrative division and one of the regions of Uzbekistan, located in the southwest of the country. This region shares its borders with Turkmenistan and other regions such as Navoiy, Qashqadaryo, and the Republic of Karakalpakstan. Its capital city, also called Bukhara, is one of the ancient cities in Central Asia, boasting numerous historical and architectural monuments. The history of the region is intrinsically linked to the Silk Road, as the city of Bukhara was a critical stop for caravans travelling along this ancient trade route. The economy of the Bukhara Region mainly depends on agriculture, specifically cotton and silkworms. The region is also rich in natural gas reserves. Culturally, the Bukhara Region is known for its unique music, dance, and handicrafts, lending further to its charm and appeal. Today, the Bukhara Region is a popular destination for tourists attracted to its historical significance and rich cultural heritage. The Bukhara Region covers a total area of about 39,400 square kilometres and has a population of approximately 1.7 million people. Overall, it's a region that blends the old and the new, keeping its historical charm intact while also adapting to modern life.","[12, 9, 9, 14, 3, 17, 13, 14, 4, 10, 2, 7, 1, 9, 2, 13, 13, 14, 17, 1, 1, 6, 1, 9, 14]","Its capital city, also called Bukhara, is one of the ancient cities in Central Asia, boasting numerous historical and architectural monuments."
25,"A Pygmy possum is a small marsupial that belongs to the Burramyidae family, found primarily in Australia and New Guinea. This tiny creature, typically weighing between 10 to 50 grams, is one of the smallest possums in the world. They are nocturnal, meaning they are active during the night, and they spend their days sleeping in hollows or nests. Pygmy possums eat a variety of foods, including nectar, pollen, fruits, and insects. Interestingly, they have a crucial role in pollination due to their feeding habits. They are also known for their hibernation behavior, which can sometimes last up to seven months. What distinguishes them from most of the marsupials is their prehensile tail, which they use for hanging onto branches while searching for food. Their lifespan in the wild isn't well documented but in captivity, a little pygmy possum can live up to eleven years. The five known species of Pygmy possums are currently considered threatened due to habitat loss and climate change. They are a vital part of the ecosystem they inhabit, keeping a healthy balance in insect populations and contributing to plant diversity through pollination.
","[9, 9, 17, 7, 9, 2, 9, 14, 17, 13, 14, 9, 14, 9, 14, 6, 9, 14]","Pygmy possums eat a variety of foods, including nectar, pollen, fruits, and insects."
26,"Antoine-Jean Gros was a prominent French painter, born in 1771, who gained fame during the early 19th century. Mostly known for his historical scenes, he had a significant influence on French art, being one of the pioneers of the Romantic movement. Gros was initially trained by his father, who was a miniature painter, and later became a student of the famous artist Jacques-Louis David. Gros' recognized works often depicted scenes from the Napoleon era, showcasing the grandeur and heroism of the period. His famous paintings, including ""Bonaparte Visiting the Plague Victims of Jaffa"" and ""Battle of Eylau"", embody powerful emotional content. However, Gros struggled with criticism later in his career and never felt he lived up to his early successes. He attempted to mimic the Neoclassical style of his teacher, David, but was consistently drawn back to Romanticism. As perceptions of art shifted, Gros felt increasingly alienated and his later works were not as well-received. Sadly, he drowned in 1835, in what is regarded as a likely suicide. Despite his tragic end, Gros left a significant impact on French art, specifically Romanticism.","[9, 14, 13, 13, 4, 7, 1, 1, 9, 14, 17, 2, 10, 14, 12, 17, 9, 2, 7, 1, 1, 9, 14]","Antoine-Jean Gros was a prominent French painter, born in 1771, who gained fame during the early 19th century."
27,"Jimmy Rushing was a well-renowned American blues and jazz singer, best known for his work as the featured vocalist of Count Basie's Orchestra from 1935 to 1948. He was born in Oklahoma City in 1901. His powerful voice and energetic performances earned him the nickname ""Mr. Five by Five,"" due to his short, stout physique. Although he primarily sang the blues, Rushing was also known for his impressive range and his ability to convey emotion through his music. After leaving Basie's band, Rushing pursued a successful solo career, often performing with other acclaimed musicians. Despite facing challenges due to racial segregation throughout his career, Rushing was highly respected in the music industry. His influence on jazz and blues music remains significant. He passed away in 1972 but his music is still celebrated today.","[13, 13, 4, 7, 3, 14, 17, 1, 9, 6, 9, 9, 14, 3, 17, 2, 12, 9, 2, 7, 17, 9, 2, 13, 13, 11, 13, 2, 10, 2, 10, 14]","Jimmy Rushing was a well-renowned American blues and jazz singer, best known for his work as the featured vocalist of Count Basie's Orchestra from 1935 to 1948."
28,"Riverfront Stadium, also known as Cinergy Field from 1996 to 2002, was a multi-purpose stadium located in Cincinnati, Ohio. It was set along the banks of the Ohio River, hence its name 'Riverfront'. This venue was home to the Cincinnati Reds Major League Baseball team and the Cincinnati Bengals National Football League team. The stadium was opened in 1970 and had a seating capacity of approximately 57,000 for football and 52,000 for baseball. Riverfront Stadium was significant as it hosted the World Series multiple times and was renowned for its revolutionary artificial turf. This stadium was a part of the ""cookie-cutter"" style of stadium construction that was popular during the 1970s and 1980s. It was demolished in 2002 to make way for the Great American Ball Park and Paul Brown Stadium, which are the current homes of the Reds and Bengals. The site is now a part of The Banks, a mixed-use development that includes apartments, restaurants, and offices. Riverfront Stadium holds a special place in Cincinnati's architectural and sporting history. It lives on in the memories of fans who fondly remember the classic games and events that took place there.","[7, 9, 4, 3, 2, 7, 13, 13, 13, 13, 13, 9, 6, 7, 13, 13, 13, 13, 13, 9, 14]",This venue was home to the Cincinnati Reds Major League Baseball team and the Cincinnati Bengals National Football League team.
29,"Louis LeBel is a renowned figure in the Canadian legal landscape. Born in Quebec City in 1939, he is a former justice of the Supreme Court of Canada, who served in this position from January 2000 to November 2014, a period of nearly 15 years. Prior to this, he amassed a wealth of experience in civil litigation and labor law, having been a partner at a prominent Quebec law firm. He was also deeply involved in the legal community serving for many years as a professor and dean at Laval University's law school. LeBel had an essential role in shaping the country's labor laws and became known for his expert knowledge on civil law. Despite being retired from the Supreme Court, he continues to contribute to the legal field, currently working with Langlois lawyers. Throughout his extensive career, LeBel has been honored with numerous awards and recognitions, adding to his immutable reputation. He is highly respected for his wealth of knowledge, sharp mind, and dedication to justice, types of qualities which have greatly influenced Canadian law. Louis LeBel's contributions have significantly shaped the legal landscape in Canada. He is an inspiration to many Canadian lawyers and law students, and he continues to be influential in his retirement.","[12, 4, 3, 3, 17, 2, 7, 1, 9, 17, 2, 1, 9, 2, 7, 9, 6, 9, 2, 13, 13, 11, 9, 9, 14]",He was also deeply involved in the legal community serving for many years as a professor and dean at Laval University's law school.
30,"Aaron Buzacott was a nineteenth century Congregationalist missionary from England who did significant work in the South Pacific, notably, the Cook Islands. Born in 1800, Buzacott learned his father's craft of a blacksmith before embracing missionary work. After attending a missionary college, he was sent to Rarotonga, Cook Islands in 1827, a place where he would spend most of his life over the next two decades. In these islands, he is credited with translating the Bible into the local Maori dialect, thereby contributing greatly to its spread. Buzacott was also an influential figure in civilizing the population by introducing Western education and values. He established schools, cultivated indigenous religious leaders, and worked to cease tribal warfare. He returned to London in the 1850s due to his wife's ill health and he died in 1864. Today, he is remembered for his significant influence in shaping the Cook Islands, with his work still having an impact on the islands' culture and religion. Aaron Buzacott's life encapsulates the often complex and interwoven history of religious missionary work, cultural change, and colonial influence.","[17, 2, 10, 14, 13, 17, 12, 9, 11, 9, 2, 7, 13, 2, 17, 1, 9, 14]","Born in 1800, Buzacott learned his father's craft of a blacksmith before embracing missionary work."
31,"Aksu City is a county-level city located in the northwest region of China, specifically in the Xinjiang Uyghur Autonomous Region. It serves as the seat to the Aksu Prefecture, hence playing a vital administrative role. The city's geographical placement is significant, located on the northern brink of the Tarim Basin. Aksu City is traditionally renowned for its fruitful agriculture given its location near the Aksu River, making it a major producer of cotton in China. Historically, it was an important stop on the ancient Silk Road, a trade route connecting East and West. The city is ethnically diverse, with Uyghurs being the majority ethnic group. It also hosts various cultural imprints such as the ancient Buddhist Kingdom of Kucha. Despite being remote, the city is connected with the other parts of China through railways and airports. It experiences a desert climate with extreme temperature differences between summer and winter. Lastly, tourism is promoted in Aksu City featuring historical sites, nature reserves, and local festivals.","[3, 14, 12, 4, 7, 1, 9, 2, 7, 1, 13, 13, 14, 7, 9, 9, 17, 13, 6, 13, 14]","Historically, it was an important stop on the ancient Silk Road, a trade route connecting East and West."
