,base_text,sumy_pos,sumy
10,"Chaptalization is a winemaking process that involves adding sugar to wine must or juice before fermentation to increase its alcohol content and sweetness. Here are 10 sentences explaining this technique in plain text:

1. Chaptalization is a method used by winemakers to enhance the characteristics of their wines, such as increasing alcohol levels and adding sweetness.
2. The process involves adding sugar, typically in the form of sucrose or glucose, to grape must or juice before fermentation begins.
3. Fermentation is a natural process where yeast consumes sugars present in the must and converts them into alcohol and carbon dioxide.
4. By adding extra sugar through chaptalization, winemakers can increase the amount of available sugars for the yeast to consume during fermentation.
5. This results in a higher final alcohol content in the","[9, 4, 7, 1, 9, 12, 17, 17, 9, 2, 9, 4, 6, 9, 2, 9, 11, 17, 12, 9, 9, 6, 9, 14]",Chaptalization is a winemaking process that involves adding sugar to wine must or juice before fermentation to increase its alcohol content and sweetness.
11,"Dobrinja is a small town located near the city of Mostar, Bosnia and Herzegovina. It has a rich history dating back to ancient times and was once an important trading center in the region. The town is known for its beautiful architecture, including the famous Old Bridge (Stari Most) which connects two parts of Mostar. Dobrinja experienced significant damage during the Bosnian War in the 1990s but has since been rebuilt and restored. Today, it serves as a reminder of the resilience and unity of its people.","[13, 4, 7, 1, 9, 17, 2, 7, 9, 2, 13, 14, 13, 6, 13, 14]","Dobrinja is a small town located near the city of Mostar, Bosnia and Herzegovina."
12,"Chalvey is a small town located in the Borough of Slough, Berkshire, England. It lies to the east of Slough and shares borders with other towns such as Langley, Iver, and Uxbridge. The name ""Chalvey"" comes from Old English and means ""cold spring."" Historically, Chalvey was a rural area known for its agriculture and market gardening. However, it has since developed into a suburban community with various amenities such as shops, schools, and parks. Some notable landmarks in Chalvey include the St. Mary's Church, which dates back to the 13th century, and the Chalvey Community Centre, which offers various activities for residents. Additionally, Chalvey is well-connected to nearby cities like London through public transportation options such as buses and trains.","[9, 4, 7, 1, 9, 17, 2, 7, 13, 2, 13, 14, 13, 14, 13, 14]","Chalvey is a small town located in the Borough of Slough, Berkshire, England."
13,"Samantha is typically used as a female given name, derived from the Hebrew name Shim'on (meaning ""heard"" or ""listened to""). It can also be an English name meaning ""listener"" or ""one who listens"". The name Samantha gained popularity in the 20th century and is still commonly used today.","[13, 4, 3, 17, 2, 7, 1, 17, 9, 14, 17, 2, 7, 1, 9, 13, 14, 17, 14, 9, 14, 6, 14, 17, 2, 14, 14, 14]","Samantha is typically used as a female given name, derived from the Hebrew name Shim'on (meaning ""heard"" or ""listened to"")."
14,"A codomain is a concept in mathematics, specifically in set theory and function theory. It refers to the collection of all possible output values that a function can take for any given input value. In other words, it represents the set of elements that a function can map its inputs onto.","[7, 9, 4, 7, 9, 2, 9, 14, 3, 2, 17, 9, 6, 9, 9, 14]","A codomain is a concept in mathematics, specifically in set theory and function theory."
15,"Al-Busiri was an Egyptian poet and scholar who lived during the Mamluk era, which spanned from the late 13th to early 16th century. He is best known for his famous work, ""Qasidat al-burda,"" also known as ""The Mantle Poem."" This poem is a tribute to the Islamic prophet Muhammad and has been widely recited and studied by Muslims around the world. Al-Busiri's poetry often focused on themes of love, spirituality, and religious devotion. His works have had a significant impact on Arabic literature and continue to be celebrated today for their beauty and depth.","[13, 14, 13, 4, 7, 1, 9, 6, 9, 12, 17, 2, 7, 13, 9, 14, 12, 17, 2, 7, 1, 9, 2, 1, 1, 9, 14]","Al-Busiri was an Egyptian poet and scholar who lived during the Mamluk era, which spanned from the late 13th to early 16th century."
16,"Ignace is a name that typically refers to a person, specifically a male individual. It has origins in various languages and cultures, but it is most commonly associated with the Hebrew name ""Yitzhak"" or the French variant of ""Ignace."" The name can be translated as ""he will laugh,"" symbolizing joy and happiness. People named Ignace may share some common traits, such as being creative, intelligent, and compassionate. However, individuals with this name can have diverse personalities and backgrounds just like anyone else.","[7, 9, 4, 4, 17, 15, 14, 12, 4, 17, 14, 14, 17, 9, 6, 9, 14]","The name can be translated as ""he will laugh,"" symbolizing joy and happiness."
17,"Butuan is a city located on the northeastern coast of Mindanao, the second-largest island in the Philippines. It serves as the regional center and capital of the Caraga region, which consists of three provinces: Agusan del Norte, Agusan del Sur, and Surigao del Norte. The city is known for its rich history, vibrant culture, and natural attractions such as beaches, waterfalls, and caves. Some notable landmarks include the Butuan Cathedral, the Balanghai Shrine Museum, and the Magellan's Marker. Additionally, Butuan plays a significant role in trade and commerce within the region due to its strategic location along the Agusan River and its proximity to major highways and ports.","[12, 17, 2, 7, 1, 9, 6, 9, 2, 7, 13, 9, 14, 12, 17, 2, 10, 9, 14, 13, 13, 13, 14, 13, 9, 13, 14, 6, 13, 13, 13, 14]","It serves as the regional center and capital of the Caraga region, which consists of three provinces: Agusan del Norte, Agusan del Sur, and Surigao del Norte."
18,"Brauron is an ancient city located on the coast of Attica, Greece. It was founded by the mythological hero Erichthonius and later became part of Athens. The city was known for its sanctuary dedicated to the goddess Artemis Brauronia, who protected young boys during their military training. In addition to the temple, Brauron also had a large area for athletic exercises and competitions.
","[13, 4, 7, 1, 9, 17, 2, 7, 9, 2, 13, 14, 13, 14]","Brauron is an ancient city located on the coast of Attica, Greece."
19,"Arawacus is an extinct genus of beetles belonging to the family Carabidae, which includes ground beetles. These insects lived during the Eocene epoch, approximately 50 million years ago. They are known from fossils found in Europe and Asia. Arawacus beetles were likely predators or scavengers, feeding on small animals, plants, or decaying matter. Their physical characteristics include a robust body, short wing covers, and strong legs adapted for digging or running. The genus name ""Arawacus"" is derived from the ancient Greek word ""arawakos,"" which means ""to pierce"" or ""to stab."" This likely refers to the beetle's powerful mandibles used for capturing or defending itself against predators and prey.","[7, 9, 17, 2, 7, 13, 9, 14, 3, 10, 10, 9, 3, 14]","These insects lived during the Eocene epoch, approximately 50 million years ago."
20,"World religions are the major faiths and belief systems that have shaped human history and continue to influence global culture today. These religious traditions often share common themes, such as spirituality, morality, and the search for meaning in life, but they also differ significantly in their teachings, practices, and rituals. Some of the most prominent world religions include Christianity, Islam, Hinduism, Buddhism, Judaism, and Taoism.","[9, 9, 4, 7, 1, 9, 6, 1, 9, 12, 4, 17, 1, 9, 6, 17, 11, 17, 1, 9, 9, 14]",World religions are the major faiths and belief systems that have shaped human history and continue to influence global culture today.
21,"Charles-Ignace Gill was an Austrian composer, conductor, and violinist born on February 23, 1891, in Vienna, Austria. He is best known for his contributions to the Viennese classical music tradition and as a member of the Second Viennese School, which also included composers like Arnold Schoenberg and Alban Berg. Gill's works often incorporated atonality and twelve-tone techniques, which were pioneered by Schoenberg, and he was known for his innovative approach to composition. He composed numerous orchestral pieces, chamber music, and vocal works throughout his career, with some of his most famous compositions including the String Quartet No. 4, Symphony No. 3, and the opera Wozzeck. Gill passed away on October 26, 1971, in Vienna, leaving behind a significant legacy in the world of classical music.","[13, 14, 13, 13, 4, 7, 1, 9, 14, 9, 14, 6, 17, 17, 2, 13, 10, 14, 10, 14, 2, 13, 14, 13, 14]","Charles-Ignace Gill was an Austrian composer, conductor, and violinist born on February 23, 1891, in Vienna, Austria."
22,"The 47th Scripps National Spelling Bee was an annual spelling competition held in Washington, D.C., USA, on May 26-28, 1993. It brought together young spellers from across the United States to compete for the title of best speller and a cash prize. The event is organized by the E.W. Scripps Company and has been held annually since 1941.","[7, 1, 13, 13, 13, 13, 4, 7, 1, 9, 9, 17, 2, 13, 14, 13, 14, 13, 14, 2, 13, 10, 16, 10, 14, 10, 14]","The 47th Scripps National Spelling Bee was an annual spelling competition held in Washington, D.C., USA, on May 26-28, 1993."
23,"Dewa 19 is an Indonesian rock band that was formed in 1985. The group consists of three main members: Ahmad Dhani, Ari Lasso, and Tohpati. They are known for their unique blend of rock music with traditional Indonesian elements such as gamelan and kroncong sounds.

The band's name ""Dewa 19"" is derived from the Javanese word ""dewa,"" which means god or divine, and the number 19 represents the year they were formed (1985). Their music often features themes of love, spirituality, and social issues.

Throughout their career, Dewa 19 has released numerous albums, with some of their most popular songs including ""Laskar Cinta,"" ""Mimpi yang Hilang,"" and ""Kisah Hati."" They have won several awards for their","[7, 9, 17, 2, 10, 1, 9, 14, 13, 13, 14, 13, 13, 14, 6, 13, 14]","The group consists of three main members: Ahmad Dhani, Ari Lasso, and Tohpati."
24,"The Bukhara Region is an area located in central Uzbekistan, known for its rich history and cultural heritage. It covers approximately 25,400 square kilometers and has a population of around 3 million people. The region's capital city is also named Bukhara, which was once a major center on the ancient Silk Road trade route.","[7, 13, 13, 4, 7, 9, 17, 2, 1, 13, 14, 17, 2, 12, 1, 9, 6, 1, 9, 14]","The Bukhara Region is an area located in central Uzbekistan, known for its rich history and cultural heritage."
25,"A pygmy possum is a small, nocturnal marsupial native to Australia. It belongs to the family of marsupials called ""phalangers"" and has several unique features that distinguish it from other possum species. Here are 10 sentences explaining this term:

1. The pygmy possum is a tiny creature with an adult size ranging between 7 to 12 centimeters in length, excluding its tail.
2. It weighs approximately 15 grams and has a distinctive appearance due to its small stature and round body shape.
3. Pygmy possums have large eyes that help them navigate their environment during the night as they are primarily nocturnal animals.
4. Their fur is usually grayish-brown in color, with lighter underbellies and darker patches around the eyes.
5. These marsupials inhabit various habitats","[7, 9, 9, 4, 7, 1, 9, 2, 7, 9, 9, 17, 2, 10, 11, 10, 9, 2, 9, 14, 17, 12, 9, 14]","The pygmy possum is a tiny creature with an adult size ranging between 7 to 12 centimeters in length, excluding its tail."
26,"Antoine-Jean Gros, also known as Jean-Auguste-Dominique Ingres, was a French painter who lived from 1780 to 1867. He is considered one of the most important artists of his time and played a significant role in shaping the artistic landscape of France during the early 19th century. Gros's work often focused on historical events and themes, such as battles and royal ceremonies. His style was characterized by its dramatic use of light and shadow, as well as its emphasis on movement and emotion. Some of his most famous paintings include ""The Battle of Aboukir,"" ""Napoleon at Eylau,"" and ""The Plague in Rome.""","[9, 14, 13, 13, 14, 3, 17, 2, 13, 14, 13, 14, 13, 13, 14, 4, 7, 1, 9, 12, 17, 2, 10, 2, 10, 14]","Antoine-Jean Gros, also known as Jean-Auguste-Dominique Ingres, was a French painter who lived from 1780 to 1867."
27,"Jimmy Rushing was an American blues singer, born on August 26, 1901, and passed away on November 30, 1972. He is also known as ""The Big Blues Voice"" or simply ""Big Joe."" Rushing started his career in the early 1920s with various bands such as the Blue Devils and the Emancipation Orchestra. In 1943, he joined Count Basie's band, where he became a prominent figure and contributed to their success. He was known for his powerful voice and unique style of singing, which combined elements of blues, jazz, and gospel music. Rushing recorded numerous songs with the Count Basie Orchestra, including hits like ""Going to Chicago"" and ""Every Day I Have the Blues."" His influence can be heard in many later musicians, such as Ray Charles and Aretha Franklin. Despite facing racial discrim","[12, 4, 17, 2, 12, 1, 9, 6, 1, 9, 2, 9, 14, 12, 17, 9, 2, 9, 14, 9, 14, 6, 9, 9, 14]","He was known for his powerful voice and unique style of singing, which combined elements of blues, jazz, and gospel music."
28,"Riverfront Stadium was a multi-purpose sports facility located in Cincinnati, Ohio, USA. It opened in 1970 and served as the home for various professional baseball and football teams until its closure in 2002. The stadium was named ""Riverfront"" because it was situated along the banks of the Ohio River.

The facility had a seating capacity of approximately 52,000 spectators, making it one of the largest sports venues in the region at that time. It hosted numerous events, including concerts, soccer matches, and college football games, in addition to its primary use as a baseball and football stadium.

Riverfront Stadium was known for its unique design, featuring an open-air structure with a distinctive cantilevered roof that provided shade and shelter from the elements without obstructing views of the field or playing surface. The stadium's exterior was","[13, 13, 4, 7, 1, 1, 1, 9, 9, 17, 2, 13, 14, 13, 14, 13, 14]","Riverfront Stadium was a multi-purpose sports facility located in Cincinnati, Ohio, USA."
29,"Louis LeBel is a Canadian lawyer and judge who has made significant contributions to the field of administrative law, particularly in Canada. He was born on October 25, 1948, in Moncton, New Brunswick, Canada. LeBel studied at the University of Ottawa, where he earned his Bachelor of Laws degree in 1973. After completing his studies, he worked as a lawyer and later became a partner at the law firm Borden Ladner Gervais LLP. In 1986, he was appointed to the Federal Court of Canada, where he served until 2004. During his time on the court, LeBel authored several important decisions that helped shape Canadian administrative law. He also taught at the University of Ottawa and the University of Toronto as a professor of law. In 2004, Louis LeBel was appointed to the Supreme Court of Canada, where he served","[13, 13, 4, 7, 1, 9, 6, 9, 12, 4, 17, 1, 9, 2, 7, 9, 2, 1, 9, 14, 3, 2, 13, 14]","Louis LeBel is a Canadian lawyer and judge who has made significant contributions to the field of administrative law, particularly in Canada."
30,"Aaron Buzacott is an Australian author, speaker, and educator who focuses on topics related to personal development, spirituality, and consciousness. He has written several books, including ""The Genius of the Heart"" and ""What if the Secret to Success Is Failure?"". Aaron's work emphasizes the importance of self-awareness, emotional intelligence, and resilience in achieving personal growth and success.","[13, 13, 4, 7, 1, 9, 14, 9, 14, 6, 9, 12, 17, 2, 9, 17, 2, 1, 9, 14, 9, 14, 6, 9, 14]","Aaron Buzacott is an Australian author, speaker, and educator who focuses on topics related to personal development, spirituality, and consciousness."
31,"Aksu City is a major urban center located in the Xinjiang Uyghur Autonomous Region of northwest China. It serves as an important transportation hub and economic center for the region, connecting various cities and towns through its well-developed road and rail networks. The city has a rich history dating back to ancient times, with evidence of human habitation found in nearby archaeological sites that date back thousands of years. Aksu City is home to a diverse population, including ethnic Uyghurs, Han Chinese, Kazakhs, Kyrgyz, and other minority groups who coexist peacefully within the city's borders. The local culture reflects this diversity, with various customs, languages, and traditions being practiced by its residents. Aksu City is also known for its natural beauty, featuring picturesque landscapes that include mountains, rivers, and grasslands. In recent years, the","[13, 13, 4, 7, 1, 1, 9, 17, 2, 7, 13, 13, 13, 13, 2, 13, 13, 14]",Aksu City is a major urban center located in the Xinjiang Uyghur Autonomous Region of northwest China.
32,"Nate Freiman is an American entrepreneur and philanthropist, known for his work in the technology industry. He co-founded the company Factual, which provides data solutions to businesses and organizations. In addition to his professional achievements, Nate Freiman has also been involved in various charitable activities, such as supporting education initiatives and disaster relief efforts.","[13, 13, 4, 7, 1, 9, 6, 9, 14, 17, 2, 12, 9, 2, 7, 9, 9, 14]","Nate Freiman is an American entrepreneur and philanthropist, known for his work in the technology industry."
33,"The finless sleeper ray, also known as the widow skate or winged raja, is a type of cartilaginous fish belonging to the family Rajidae. It is found in the coastal waters of the Indo-Pacific region and can grow up to 10 feet in length. The finless sleeper ray has a flattened body with large pectoral fins that resemble wings, which it uses for swimming and steering. Its coloration varies from brownish-gray to reddish-brown, often with darker spots or blotches on its back. The species is nocturnal and feeds primarily on benthic invertebrates such as crabs, clams, and worms. It has a unique ability to remain motionless on the ocean floor for extended periods of time, earning it the name ""sleep","[12, 4, 17, 2, 7, 1, 9, 2, 7, 13, 14, 13, 9, 6, 4, 17, 2, 11, 10, 9, 2, 9, 14]",It is found in the coastal waters of the Indo-Pacific region and can grow up to 10 feet in length.
34,"2PM is a South Korean boy band that debuted in 2008 under JYP Entertainment. The group consists of six members: Jun. K, Changmin, Wooyoung, Junho, Taecyeon, and Wonshik (also known as Kwangmin). They are known for their energetic performances and catchy songs in various music genres such as pop, R&B, hip-hop, and electronic dance music. 2PM has released multiple albums and singles throughout their career, with some of their popular hits including ""Niga Lutz!"", ""Again & Again"", ""Heartbeat"", and ""Go Crazy"". The group has also won numerous awards for their musical achievements in South Korea and internationally. In addition to their music career, 2PM members have ventured into acting, hosting, and other entertainment activities, showcasing their versatile talents.","[10, 4, 7, 1, 1, 9, 9, 12, 17, 2, 10, 2, 13, 13, 14]",2PM is a South Korean boy band that debuted in 2008 under JYP Entertainment.
35,"Betsy Reed is an American journalist and editor who has worked for various publications, including The Nation magazine. She joined ProPublica, a non-profit investigative journalism organization, in 2013 as an editor. At ProPublica, she has been involved in numerous award-winning stories that have exposed corruption, mismanagement, and other issues affecting society. Reed is known for her commitment to high-quality journalism and her ability to lead a team of reporters and editors to produce impactful work.","[13, 13, 4, 7, 1, 9, 6, 9, 12, 4, 17, 2, 1, 9, 14, 17, 7, 13, 9, 14]","Betsy Reed is an American journalist and editor who has worked for various publications, including The Nation magazine."
36,"Interior with a Child Feeding a Parrot is a painting by Spanish artist Francisco Goya, created around 1824. The artwork depicts an interior scene where a child is feeding a parrot while sitting on the floor next to a table. A woman stands behind the child, holding a tray with food and drinks. In the background, there are two windows that provide light to the room, revealing its details such as furniture and decorations. The painting showcases Goya's skill in capturing realistic textures and emotions through his use of color and brushstrokes. It is considered one of his late works, reflecting his interest in depicting everyday life and human relationships.","[2, 7, 9, 14, 12, 17, 10, 9, 12, 17, 9, 2, 7, 9, 14, 17, 12, 9, 1, 2, 9, 6, 9, 14]","In the background, there are two windows that provide light to the room, revealing its details such as furniture and decorations."
37,"Raphael Maklouf is an Iraqi sculptor and artist who was born on October 25, 1944, in Baghdad, Iraq. He studied at the Academy of Fine Arts in Rome, Italy, from 1963 to 1968. His work often features themes related to his homeland, such as ancient Mesopotamian civilization and its culture, history, and mythology. Maklouf is best known for designing the current Iraqi dinar banknotes, which were first issued in 1979. He has also created numerous sculptures and installations that have been exhibited both nationally and internationally. Some of his notable works include ""The Cradle of Civilization,"" a large-scale bronze statue depicting the history of Iraq from ancient times to modern day, and ""Wings of Peace,"" an installation consisting of four bronze sculptures representing","[13, 13, 4, 7, 1, 9, 6, 9, 12, 4, 17, 2, 13, 10, 14, 10, 14, 2, 13, 14, 13, 14]","Raphael Maklouf is an Iraqi sculptor and artist who was born on October 25, 1944, in Baghdad, Iraq."
38,"A tap and die is a set of precision-made metal tools used for cutting or creating screw threads on bolts, nuts, and other fasteners. The process involves using a tapered tool called a ""tap"" to cut the thread shape into a workpiece, followed by using a matching ""die"" to refine and finish the thread. Here are 10 sentences explaining the term:

1. A tap and die set is an essential tool for machinists and DIY enthusiasts alike.
2. The purpose of a tap is to cut internal threads, while a die is used to cut external threads.
3. Taps have male threads, which means they are threaded like a screw, whereas dies have female threads, which are smooth inside.
4. To use a tap, you insert it into the workpiece and turn it clockwise, cutting threads as you go.
5. Once the","[7, 9, 6, 17, 4, 7, 9, 2, 9, 14, 17, 9, 9, 17, 2, 17, 6, 17, 9, 9, 2, 9, 14, 9, 14, 6, 1, 9, 14]","A tap and die is a set of precision-made metal tools used for cutting or creating screw threads on bolts, nuts, and other fasteners."
39,"Chibombo District is an administrative region located in Zambia, a landlocked country in southern Africa. It falls under the jurisdiction of the Central Province and covers an area of approximately 3,756 square kilometers. The district's population is estimated to be around 120,000 people, with various ethnic groups such as the Lozi, Chewa, and Tonga coexisting in harmony. Chibombo District is known for its rich history, which includes being a significant part of the ancient Roan Antelope migration route and hosting several archaeological sites from different eras. The district's economy relies mainly on agriculture, with maize, sunflower, and groundnuts being the primary crops grown by farmers. Additionally, fishing is an important economic activity due to its proximity to Lake Kariba, one of Africa's largest man-made reservoir","[7, 9, 11, 9, 4, 17, 11, 4, 2, 10, 9, 14, 2, 1, 1, 9, 1, 2, 7, 13, 14, 13, 14, 6, 13, 17, 2, 9, 14]","The district's population is estimated to be around 120,000 people, with various ethnic groups such as the Lozi, Chewa, and Tonga coexisting in harmony."
40,"Dynoro is an alias for the Georgian DJ and music producer, Irakli Nikolaou. He gained popularity with his remix of the song ""Mi Gente"" by J Balvin and Willy William, which he transformed into a dancehall-infused track featuring vocals from British singer Stefflon Don. Dynoro's style is characterized by blending elements of reggaeton, dancehall, and electronic music to create catchy, upbeat tracks that appeal to a wide audience. He has released several singles and remixes since his breakthrough, collaborating with various artists such as Sean Paul, Mr Eazi, and Anitta. Dynoro's work is often associated with the ""Mi Gente"" craze that swept across social media platforms like TikTok, where users created dance videos set to the song. This viral success led to a remix version featuring Beyoncé,","[13, 4, 7, 9, 2, 7, 1, 9, 6, 9, 9, 14, 13, 13, 14]","Dynoro is an alias for the Georgian DJ and music producer, Irakli Nikolaou."
41,"Photosynthesis is a process that occurs in plants, algae, and some bacteria, where they convert light energy from the sun into chemical energy stored in glucose molecules. This process involves two main stages: the light-dependent reactions and the light-independent reactions (also known as the Calvin cycle).

In the light-dependent reactions, chlorophyll and other pigments within the plant cells absorb sunlight, which excites their electrons to a higher energy level. These excited electrons are then transferred through a series of proteins in an electron transport chain, ultimately leading to the production of ATP (adenosine triphosphate) and NADPH (nicotinamide adenine dinucleotide phosphate). Both ATP and NADPH are high-energy molecules that will be used later in the light-independent reactions.

The light-independent reactions","[9, 4, 7, 9, 12, 17, 2, 9, 14, 9, 14, 6, 7, 9, 14, 15, 12, 17, 1, 9, 2, 7, 9, 2, 1, 9, 17, 2, 9, 9, 14]","Photosynthesis is a process that occurs in plants, algae, and some bacteria, where they convert light energy from the sun into chemical energy stored in glucose molecules."
